"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Mean_Plot_Spruce_Biomass_kg","Mean_Plot_Spruce_Biomass_kg_m2"
"207","Trøndelag","hi_tydal","HIUB","UB",3,1.094455,0.0870939616208202
"208","Hedmark","kongsvinger 1","IAAUB","UB",3,17.70162,1.40865016186718
"209","Hedmark","kongsvinger 2","JCDUB","UB",3,0.999285,0.0795205736537923
"210","Trøndelag","selbu_kl","KLUB","UB",3,2.37925,0.189334699175696
"211","Trøndelag","singsaas","LAUB","UB",3,2.28408,0.181761311208668
"212","Trøndelag","malvik","MAUB","UB",3,0.888253333333333,0.0706849543589265
"213","Hedmark","nes 2","OLUB","UB",3,0.8327375,0.0662671447114936
"214","Hedmark","stig_dahlen","SDUB","UB",3,1.665475,0.132534289422987
"215","Trøndelag","sl_tydal","SEUB","UB",3,0.6423975,0.0511203687774379
"216","Hedmark","sørum 1","SKUB","UB",3,0.904115,0.0719471856867645
"217","Trøndelag","selbu_sl","SLUB","UB",3,0.85653,0.0681604917032506
"218","Hedmark","stangeskovene_aurskog","SSAUB","UB",3,0.697913333333333,0.0555381784248708
"219","Hedmark","stangeskovene_eidskog","SSBUB","UB",3,0.237925,0.0189334699175696
"220","Hedmark","eidskog","STSKNUB","UB",3,1.61789,0.128747595439473
"221","Hedmark","truls_holm","THUB","UB",3,2.2127025,0.176081270233397
"222","Trøndelag","steinkjer_1bbb","1BBB","B",4,0.98782875,0.0786089142453941
"223","Telemark","nome_cappelen1","1CAB","B",4,0.1738725,0.0138363339213728
"224","Telemark","drangedal1","1DRB","B",4,0.831699375,0.066184533348845
"225","Telemark","fritsoe1","1FRB","B",4,1.123488125,0.0894043442993976
"226","Telemark","furesdal","1FYB","B",4,0.66651125,0.053039280031929
"227","Trøndelag","namdalseid_1kub","1KB","B",4,0.52597125,0.0418554621808615
"228","Telemark","kviteseid1","1KVB","B",4,0.38723375,0.0308150827222556
"229","Telemark","notodden1","1NOB","B",4,0.0579575,0.00461211130712426
"230","Trøndelag","nsb_verdal","1NSB","B",4,1.410923125,0.112277694833207
"231","Trøndelag","sub_namdalseid","1SB","B",4,0.1890875,0.0150471051509444
"232","Trøndelag","verdal_1vb","1VBB","B",4,0.0579575,0.00461211130712426
"233","Trøndelag","steinkjer_2bbb","2BBB","B",4,4.8571575,0.386520312750436
"234","Telemark","nome_cappelen2","2CAB","B",4,0.2897875,0.0230605565356213
"235","Telemark","fritsoe2","2FRB","B",4,0.8394825,0.066803894757071
"236","Telemark","kviteseid2","2KVB","B",4,0.86956125,0.0691974856293337
"237","Trøndelag","verdal_2vb","2VBB","B",4,1.94958125,0.155142746448388
"238","Telemark","kviteseid3","3KVB","B",4,1.404415625,0.111759844437122
"239","Telemark","notodden3","3NOB","B",4,0.18148,0.0144417195361586
"240","Telemark","drangedal4","4DRB","B",4,0.7136075,0.0567870805262249
"241","Telemark","notodden4","4NOB","B",4,0.115915,0.00922422261424852
"242","Telemark","notodden5","5NOB","B",4,3.528525625,0.280791147522585
"243","Telemark","notodden6","6NOB","B",4,0.166990625,0.0132886917093775
"244","Trøndelag","bratsberg","BRB","B",4,2.66939125,0.212423406241877
"245","Hedmark","nes 1","DDB","B",4,3.12519875,0.248695414603556
"246","Hedmark","didrik_holmsen","DHB","B",4,1.337575,0.106440836503071
