"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Mean_Plot_Decid_Biomass_kg","Mean_Plot_Decid_Biomass_kg_m2"
"142","Trøndelag","singsaas","LAB","B",3,0.19624226,0.0156164628612625
"143","Trøndelag","malvik","MAB","B",3,0.37361155,0.0297310624893624
"144","Hedmark","stig_dahlen","SDB","B",3,0.9314575,0.0741230327025096
"145","Trøndelag","sl_tydal","SEB","B",3,0.14970757,0.011913349891888
"146","Trøndelag","selbu_sl","SLB","B",3,0.2779087,0.0221152716666213
"147","Hedmark","stangeskovene_aurskog","SSAB","B",3,0.537855,0.0428011409583457
"148","Hedmark","stangeskovene_eidskog","SSBB","B",3,0.14118,0.0112347474328569
"149","Hedmark","eidskog","STSKNB","B",3,0.407035,0.0323908161307048
"150","Hedmark","truls_holm","THB","B",3,0.54618849,0.0434642990216991
"151","Trøndelag","steinkjer_1bbb","1BBUB","UB",3,0.845887175,0.0673135625996446
"152","Telemark","nome_cappelen1","1CAUB","UB",3,0.04376035,0.00348233800696571
"153","Telemark","drangedal1","1DRUB","UB",3,0.609986,0.0485411435584264
"154","Telemark","fritsoe1","1FRUB","UB",3,3.509662275,0.279290049824699
"155","Telemark","furesdal","1FYUB","UB",3,0.160608,0.0127807785500516
"156","Trøndelag","namdalseid_1kub","1KUB","UB",3,0.929920725,0.0740007400336745
"157","Telemark","kviteseid1","1KVUB","UB",3,0.209560033333333,0.0166762575897512
"158","Trøndelag","nsb_verdal","1NSUB","UB",3,0.4507779,0.035871765510792
"159","Trøndelag","sub_namdalseid","1SUB","UB",3,1.133202,0.090177349910811
"160","Trøndelag","verdal_1vb","1VBUB","UB",3,0.6526583,0.0519368972974766
"161","Trøndelag","steinkjer_2bbb","2BBUB","UB",3,0.811320225,0.0645628121195894
"162","Telemark","nome_cappelen2","2CAUB","UB",3,1.832089525,0.145793052045316
"163","Telemark","fritsoe2","2FRUB","UB",3,0.7870907,0.06263468778333
"164","Telemark","kviteseid2","2KVUB","UB",3,0.228721325,0.0182010647321389
"165","Trøndelag","verdal_2vb","2VBUB","UB",3,1.98270966666667,0.157779022083042
"166","Telemark","drangedal3","3DRUB","UB",3,0.196170875,0.0156107822234562
