"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Mean_Plot_Pine_Biomass_kg","Mean_Plot_Pine_Biomass_kg_m2"
"254","Telemark","kviteseid2","2KVB","B",6,1.7165,0.136594729908619
"255","Trøndelag","verdal_2vb","2VBB","B",6,0.27464,0.0218551567853791
"256","Telemark","drangedal3","3DRB","B",6,0.297526666666667,0.0236764198508273
"257","Telemark","notodden3","3NOB","B",6,3.94795,0.314167878789824
"258","Telemark","drangedal4","4DRB","B",6,0.27464,0.0218551567853791
"259","Telemark","notodden5","5NOB","B",6,0.54928,0.0437103135707581
"260","Telemark","notodden6","6NOB","B",6,3.106865,0.247236461134601
"261","Trøndelag","bratsberg","BRB","B",6,0.3433,0.0273189459817238
"262","Hedmark","didrik_holmsen","DHB","B",6,0.663713333333333,0.0528166288979994
"263","Trøndelag","hi_tydal","HIB","B",6,0.06866,0.00546378919634477
"264","Hedmark","halvard_pramhus","HPB","B",6,8.99446,0.715756384721164
"265","Trøndelag","selbu_kl","KLB","B",6,4.8062,0.382465243744134
"266","Trøndelag","singsaas","LAB","B",6,1.047065,0.0833227852442577
"267","Hedmark","stig_dahlen","SDB","B",6,0.10299,0.00819568379451715
"268","Trøndelag","sl_tydal","SEB","B",6,0.54928,0.0437103135707581
"269","Hedmark","stangeskovene_aurskog","SSAB","B",6,2.99815333333333,0.238585461573722
"270","Hedmark","stangeskovene_eidskog","SSBB","B",6,0.92691,0.0737611541506544
"271","Hedmark","eidskog","STSKNB","B",6,7.00332,0.557306498027166
"272","Hedmark","truls_holm","THB","B",6,2.729235,0.217185620554704
"273","Telemark","nome_cappelen1","1CAUB","UB",6,1.1131483125,0.0885815281643884
"274","Telemark","drangedal1","1DRUB","UB",6,0.598668,0.0476404857354694
"275","Telemark","fritsoe1","1FRUB","UB",6,1.01025225,0.0803933196786046
"276","Telemark","furesdal","1FYUB","UB",6,0.6735015,0.0535955464524031
"277","Telemark","kviteseid1","1KVUB","UB",6,0.804460125,0.064016902707037
"278","Trøndelag","verdal_1vb","1VBUB","UB",6,0.130958625,0.0104213562546339
"279","Telemark","nome_cappelen2","2CAUB","UB",6,2.375963625,0.189073177762644
"280","Telemark","kviteseid2","2KVUB","UB",6,0.1247225,0.00992510119488946
"281","Trøndelag","verdal_2vb","2VBUB","UB",6,0.33675075,0.0267977732262015
"282","Telemark","drangedal3","3DRUB","UB",6,0.08730575,0.00694757083642262
"283","Telemark","notodden3","3NOUB","UB",6,2.1701715,0.172696760791077
"284","Telemark","notodden5","5NOUB","UB",6,0.2245005,0.017865182150801
"285","Telemark","notodden6","6NOUB","UB",6,1.796004,0.142921457206408
"286","Trøndelag","bratsberg","BRUB","UB",6,0.11225025,0.00893259107540051
"287","Hedmark","fet_3","FKUB","UB",6,0.33675075,0.0267977732262015
"288","Trøndelag","hi_tydal","HIUB","UB",6,0.33675075,0.0267977732262015
"289","Hedmark","halvard_pramhus","HPUB","UB",6,2.30736625,0.183614372105455
"290","Trøndelag","selbu_kl","KLUB","UB",6,3.6013621875,0.286587297002433
"291","Trøndelag","singsaas","LAUB","UB",6,0.5331886875,0.0424298076081524
"292","Trøndelag","malvik","MAUB","UB",6,1.15991925,0.092303441112472
"293","Hedmark","stig_dahlen","SDUB","UB",6,1.777295625,0.141432692027175
"294","Trøndelag","sl_tydal","SEUB","UB",6,0.430292625,0.0342415991223686
"295","Hedmark","stangeskovene_aurskog","SSAUB","UB",6,1.25969725,0.100243522068384
"296","Hedmark","stangeskovene_eidskog","SSBUB","UB",6,0.1590211875,0.0126545040234841
"297","Hedmark","eidskog","STSKNUB","UB",6,3.10559025,0.247135019752748
"298","Hedmark","truls_holm","THUB","UB",6,1.01025225,0.0803933196786046
"299","Trøndelag","steinkjer_1bbb","1BBB","B",7,0.27464,0.0218551567853791
