"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Month","Mean_Plot_Albedo","Delta_Albedo","Mean_Plot_Biomass_kg_m2","Mean_Plot_Biomass_kg_ha","Delta_Biomass_kg_m2","Delta_Biomass_kg_ha"
"105","Telemark","kviteseid3","3KVUB","UB",2,1,0.438854629104587,0.0949424113653997,0.20937022257593,2093.7022257593,0.0163541024538277,163.541024538277
"106","Telemark","notodden3","3NOUB","UB",2,1,0.418439724801242,0.075504598038404,0.0386184505767696,386.184505767696,0.00390290096521247,39.0290096521247
"107","Telemark","drangedal4","4DRUB","UB",2,1,0.451325991090145,0.102482786685499,0.0569619480410735,569.619480410735,0.0189723912589027,189.723912589027
"108","Telemark","notodden5","5NOUB","UB",2,1,0.403722391469731,0.0702802080915078,0.0188721634334906,188.721634334906,0.00447856936796782,44.7856936796782
"109","Telemark","notodden6","6NOUB","UB",2,1,0.434117095651291,0.086461385144072,0.0275867387626791,275.867387626791,0.00540142698447659,54.0142698447659
"110","Trøndelag","bratsberg","BRUB","UB",2,1,0.450522731696509,0.101894912506507,0.088201362709572,882.01362709572,0.021890230555963,218.90230555963
"111","Hedmark","fet_3","FKUB","UB",2,1,0.436409256129237,NA,0.0471676314259514,471.676314259514,NA,NA
"112","Trøndelag","selbu_flub","FLUB","UB",2,1,0.443119073154455,0.0972336848204061,0.0892737974573265,892.737974573265,0.0535296702320206,535.296702320206
"113","Trøndelag","hi_tydal","HIUB","UB",2,1,0.440367416850891,0.0943497236844182,0.0817240907511123,817.240907511123,0.0470817663394349,470.817663394349
"114","Trøndelag","selbu_kl","KLUB","UB",2,1,0.413176472395766,0.071653410760474,0.0525731629500958,525.731629500958,0.0189188177156212,189.188177156212
"115","Trøndelag","singsaas","LAUB","UB",2,1,0.386177018637343,0.0610494387871838,0.12949197802909,1294.9197802909,-0.0305416793979836,-305.416793979836
"116","Trøndelag","malvik","MAUB","UB",2,1,0.438597011670084,0.091987815966155,0.0620283711121272,620.283711121271,0.023660394605922,236.60394605922
"117","Trøndelag","sl_tydal","SEUB","UB",2,1,0.429548010221113,0.086432747169355,0.0340122727648675,340.122727648675,0.0130303315113829,130.303315113829
"118","Trøndelag","selbu_sl","SLUB","UB",2,1,0.433261089309759,0.0905496703165345,0.0328769111367697,328.769111367697,0.00417260692121278,41.7260692121278
"119","Hedmark","eidskog","STSKNUB","UB",2,1,0.402155923228368,NA,0.247980302265838,2479.80302265838,NA,NA
"120","Trøndelag","steinkjer_1bbb","1BBB","B",3,1,0.450370140131983,0.10234849022031,0.0490701133146108,490.701133146108,0.00957829262670826,95.7829262670827
"121","Telemark","nome_cappelen1","1CAB","B",3,1,0.418964553207074,0.075540015985357,0.0301381561647753,301.381561647753,0.00715809303739742,71.5809303739742
"122","Telemark","drangedal1","1DRB","B",3,1,0.424662411156473,0.0812231213452053,0.10114746882824,1011.4746882824,0.0493766274321873,493.766274321873
"123","Telemark","fritsoe1","1FRB","B",3,1,0.410310859393223,0.0732111960352032,0.0576790998167582,576.790998167582,0.0254080656856612,254.080656856612
"124","Telemark","furesdal","1FYB","B",3,1,0.399299420436457,0.064872119347993,0.0283990112142812,283.990112142812,0.00956163109360334,95.6163109360334
"125","Trøndelag","namdalseid_1kub","1KB","B",3,1,0.449538848378612,0.102553580984458,0.0481997816702852,481.997816702852,-0.0151914387899608,-151.914387899608
"126","Telemark","kviteseid1","1KVB","B",3,1,0.451845095053587,0.103418813211777,0.0436778941067377,436.778941067377,0.001045815088804,10.4581508880401
"127","Trøndelag","nsb_verdal","1NSB","B",3,1,0.435963927643234,0.091515838689428,0.0628329610219971,628.329610219971,0.0214798025844923,214.798025844923
"128","Trøndelag","sub_namdalseid","1SB","B",3,1,0.44541738404917,0.0985996296415085,0.0198493624495668,198.493624495667,-0.00270235424707245,-27.0235424707245
"129","Trøndelag","verdal_1vb","1VBB","B",3,1,0.431858759732561,0.08419970130095,0.0112799776761342,112.799776761342,-0.00319530074080829,-31.9530074080829
"130","Trøndelag","steinkjer_2bbb","2BBB","B",3,1,0.443067939932354,0.0978958164971112,0.296501647081973,2965.01647081973,-0.0122774609897073,-122.774609897074
"131","Telemark","nome_cappelen2","2CAB","B",3,1,0.424380431180044,0.0781324348299124,0.0645175842636362,645.175842636362,0.0292052304728811,292.052304728811
"132","Telemark","fritsoe2","2FRB","B",3,1,0.419750145098513,0.081220455554492,0.0408309133755535,408.309133755535,0.0132826999236575,132.826999236575
"133","Telemark","kviteseid2","2KVB","B",3,1,0.431397669155727,0.0862042590820597,0.0831205120439833,831.205120439834,0.0563596500321837,563.596500321837
"134","Trøndelag","verdal_2vb","2VBB","B",3,1,0.427733829338031,0.087037322493898,0.163026463079091,1630.26463079091,0.0475054129247041,475.054129247041
"135","Telemark","drangedal3","3DRB","B",3,1,0.454133689114231,0.104404794998798,0.00280868685821422,28.0868685821422,0,0
"136","Telemark","kviteseid3","3KVB","B",3,1,0.446302792135691,0.0994089788517042,0.107402737546017,1074.02737546017,0.00441978250558166,44.1978250558163
"137","Telemark","notodden3","3NOB","B",3,1,0.418506401363398,0.0738664215419945,0.0768136990084487,768.136990084487,0.0245870513835515,245.870513835515
"138","Telemark","drangedal4","4DRB","B",3,1,0.449023182556771,0.10269471282468,0.0799454345912773,799.454345912773,0.00425888959051118,42.5888959051118
"139","Telemark","notodden5","5NOB","B",3,1,0.409069117502611,0.073323493193956,0.0251685804681425,251.685804681425,0.00576429919369316,57.6429919369316
"140","Telemark","notodden6","6NOB","B",3,1,0.417596522727808,0.0733931029600697,0.103751767316986,1037.51767316986,0.0462946651704866,462.946651704866
"141","Trøndelag","bratsberg","BRB","B",3,1,0.452030856812901,0.103419367758879,0.11785320204608,1178.5320204608,0.000804926124687258,8.04926124687245
"142","Hedmark","didrik_holmsen","DHB","B",3,1,0.433823295720183,NA,0.0917370349305735,917.370349305735,NA,NA
"143","Hedmark","fet_3","FKB","B",3,1,0.401959288987764,0.0677039082662005,0.0342946160212367,342.946160212367,0.0185798503135988,185.798503135988
"144","Trøndelag","selbu_flub","FLB","B",3,1,0.423712905844907,0.0838727975320585,0.135408864040317,1354.08864040317,0.0950383644292114,950.383644292114
"145","Trøndelag","hi_tydal","HIB","B",3,1,0.445179149048024,0.0986571950562105,0.0697701477941577,697.701477941577,0.0297083093008106,297.083093008106
"146","Hedmark","halvard_pramhus","HPB","B",3,1,0.408857062895974,NA,0.167768557819788,1677.68557819788,NA,NA
"147","Trøndelag","selbu_kl","KLB","B",3,1,0.411974642508706,0.0743286271194638,0.115613087866428,1156.13087866428,-0.000764218667005281,-7.64218667005298
"148","Trøndelag","singsaas","LAB","B",3,1,0.416786102578554,0.07182969656589,0.0629211690682196,629.211690682196,0.0188102243085128,188.102243085128
"149","Trøndelag","malvik","MAB","B",3,1,0.423523848316814,0.0833993830952243,0.111435232015192,1114.35232015192,0.0256926574034888,256.926574034889
"150","Hedmark","stig_dahlen","SDB","B",3,1,0.422513656441555,NA,0.0622962288813508,622.962288813508,NA,NA
"151","Trøndelag","sl_tydal","SEB","B",3,1,0.422615978904609,0.082231381273607,0.0228162330078326,228.162330078326,0.00546378919634477,54.6378919634477
"152","Trøndelag","selbu_sl","SLB","B",3,1,0.424442248335982,0.085179083030752,0.100185207299347,1001.85207299347,0.0553560289082301,553.560289082301
"153","Hedmark","stangeskovene_aurskog","SSAB","B",3,1,0.43755171713609,NA,0.033364711753308,333.64711753308,NA,NA
"154","Hedmark","stangeskovene_eidskog","SSBB","B",3,1,0.396038906928542,NA,0.106278631090236,1062.78631090236,NA,NA
"155","Hedmark","eidskog","STSKNB","B",3,1,0.405086899701211,0.0685764982473992,0.199129193845411,1991.29193845411,0.0735699195393455,735.699195393455
"156","Hedmark","truls_holm","THB","B",3,1,0.421685354266408,NA,0.0638877078862074,638.877078862074,NA,NA
"157","Trøndelag","steinkjer_1bbb","1BBUB","UB",3,1,0.447540928495213,0.100734630903563,0.0774347983886533,774.347983886533,-0.000154316632821908,-1.54316632821906
"158","Telemark","nome_cappelen1","1CAUB","UB",3,1,0.401624813951773,0.0556276381003885,0.107299237693919,1072.99237693919,0.0976448799463148,976.448799463148
"159","Telemark","drangedal1","1DRUB","UB",3,1,0.438707516842409,0.0927569161759573,0.0425694113612039,425.694113612039,0.0275486831579218,275.486831579218
"160","Telemark","fritsoe1","1FRUB","UB",3,1,0.438900442009566,0.0940838350970432,0.155148594397828,1551.48594397828,0.0746653690865895,746.653690865895
"161","Telemark","furesdal","1FYUB","UB",3,1,0.392668006856817,0.052250523183185,0.224148614499831,2241.48614499831,0.199744082999736,1997.44082999736
"162","Trøndelag","namdalseid_1kub","1KUB","UB",3,1,0.438138206667472,0.093268097703665,0.21667148045823,2166.7148045823,0.0617840185385614,617.840185385614
"163","Telemark","kviteseid1","1KVUB","UB",3,1,0.434520089338321,0.0882590578502263,0.0673601184046541,673.601184046541,0.0211141104812569,211.141104812569
"164","Trøndelag","nsb_verdal","1NSUB","UB",3,1,0.451769612322972,0.103835384243726,0.0230175966376072,230.175966376072,0.00237308375784528,23.7308375784528
"165","Trøndelag","sub_namdalseid","1SUB","UB",3,1,0.443607979025778,0.0968815135187168,0.040731261293148,407.31261293148,0.0275217889566945,275.217889566945
"166","Trøndelag","verdal_1vb","1VBUB","UB",3,1,0.42478172103446,0.0793790427981465,0.0334901033015141,334.901033015141,0.00905520304884012,90.5520304884011
"167","Trøndelag","steinkjer_2bbb","2BBUB","UB",3,1,0.45047792326408,0.101948771739099,0.100560873046035,1005.60873046035,-0.01317853659439,-131.7853659439
"168","Telemark","nome_cappelen2","2CAUB","UB",3,1,0.425283107269455,0.0800515140024145,0.109910852933286,1099.10852933286,0.0497932224587591,497.932224587591
"169","Telemark","fritsoe2","2FRUB","UB",3,1,0.434725408105153,0.0898901143098192,0.104625322246796,1046.25322246796,0.0508178987869653,508.178987869653
"170","Telemark","kviteseid2","2KVUB","UB",3,1,0.424490387311929,0.083404222297001,0.0439254154552204,439.254154552204,0.00499241403307914,49.9241403307914
