LocalityName,Years_Since_Exclosure,Delta_C,Delta_A,RF_Delta_C,RF_Delta_A,Net_RF,C_Eq_Delta_C,C_Eq_Delta_A,Net_C_Eq
hi_tydal,3,-0.468384419,0.002048136,3.01E-16,-3.41E-16,-4.03E-17,0.171740954,-0.194756603,-0.02301565
hi_tydal,4,-0.1772644,0.003029073,1.14E-16,-4.40E-16,-3.27E-16,0.064996947,-0.251594849,-0.186597902
hi_tydal,5,-0.029206224,0.000422837,1.87E-17,-1.01E-16,-8.18E-17,0.010708949,-0.057449402,-0.046740454
hi_tydal,6,-0.061761431,0.000325181,3.96E-17,-9.06E-17,-5.10E-17,0.022645858,-0.05179056,-0.029144702
hi_tydal,7,-0.404308717,-0.000286074,2.59E-16,-3.98E-18,2.55E-16,0.148246529,-0.002272903,0.145973627
hi_tydal,8,3.747909539,-0.017156461,-2.40E-15,2.41E-15,1.92E-18,-1.374233498,1.375328092,0.001094594
hi_tydal,9,2.980844399,-0.015003258,-1.91E-15,2.06E-15,1.50E-16,-1.09297628,1.178797913,0.085821633
hi_tydal,10,3.077995867,-0.016716039,-1.98E-15,2.26E-15,2.84E-16,-1.128598485,1.29076913,0.162170645
hi_tydal,11,4.015650756,-0.019743399,-2.58E-15,2.71E-15,1.34E-16,-1.472405277,1.549036466,0.076631189
kongsvinger_1,2,4.603693648,-0.029523312,-2.95E-15,4.39E-15,1.44E-15,-1.688021004,2.509945264,0.82192426
kongsvinger_1,3,4.699888795,-0.026576609,-3.02E-15,3.96E-15,9.48E-16,-1.723292558,2.264948506,0.541655947
kongsvinger_1,4,3.450860615,-0.016189223,-2.21E-15,2.38E-15,1.61E-16,-1.265315559,1.357341134,0.092025576
kongsvinger_1,5,5.950310514,-0.023907087,-3.82E-15,3.51E-15,-3.07E-16,-2.181780522,2.006192308,-0.175588214
kongsvinger_1,6,4.770743677,-0.017007724,-3.06E-15,2.46E-15,-6.01E-16,-1.749272682,1.405839572,-0.34343311
kongsvinger_1,7,0.363121832,-0.014507074,-2.33E-16,2.06E-15,1.82E-15,-0.133144672,1.174834798,1.041690126
kongsvinger_2,2,0.445535939,0.004178671,-2.86E-16,-3.72E-16,-6.58E-16,-0.163363178,-0.212832368,-0.376195546
kongsvinger_2,3,0.475270703,0.00234577,-3.05E-16,-1.96E-16,-5.01E-16,-0.174265924,-0.111844127,-0.286110052
kongsvinger_2,4,1.172540165,-0.002938859,-7.52E-16,5.19E-16,-2.34E-16,-0.429931394,0.296466526,-0.133464868
kongsvinger_2,5,1.097468916,-0.002744298,-7.04E-16,5.11E-16,-1.93E-16,-0.402405269,0.292134552,-0.110270718
kongsvinger_2,6,2.021940201,-0.007102946,-1.30E-15,1.17E-15,-1.28E-16,-0.741378074,0.668218598,-0.073159476
kongsvinger_2,7,1.749593277,-0.007421115,-1.12E-15,1.26E-15,1.41E-16,-0.641517535,0.722114084,0.080596549
kviteseid1,1,-0.381230343,0.001767399,2.45E-16,-4.11E-16,-1.66E-16,0.139784459,-0.23482468,-0.095040221
kviteseid1,2,-0.723728815,-0.000953033,4.64E-16,-3.54E-18,4.61E-16,0.265367232,-0.002022269,0.263344963
kviteseid1,3,-0.667014091,-0.002662454,4.28E-16,2.25E-16,6.53E-16,0.244571833,0.128363703,0.372935536
kviteseid1,4,-0.844664786,-0.001229589,5.42E-16,3.27E-17,5.75E-16,0.309710421,0.018690829,0.328401251
kviteseid1,5,-0.702573776,-0.00164017,4.51E-16,1.10E-16,5.61E-16,0.257610385,0.062973229,0.320583613
kviteseid1,6,-0.875136495,-0.000562179,5.62E-16,-5.36E-17,5.08E-16,0.320883382,-0.030653724,0.290229657
kviteseid1,7,-0.815091158,0.001368872,5.23E-16,-3.29E-16,1.94E-16,0.298866758,-0.187897579,0.110969179
kviteseid1,8,-0.700293144,0.001527249,4.49E-16,-3.56E-16,9.31E-17,0.256774153,-0.203570044,0.053204109
kviteseid1,9,-0.559521547,0.000887009,3.59E-16,-2.72E-16,8.67E-17,0.205157901,-0.155635398,0.049522502
kviteseid2,1,-0.511438367,-0.007906966,3.28E-16,6.85E-16,1.01E-15,0.187527401,0.391188164,0.578715565
kviteseid2,2,-0.442887375,-0.001655343,2.84E-16,1.12E-18,2.85E-16,0.162392038,0.000640778,0.163032816
kviteseid2,3,-0.698086204,0.000353609,4.48E-16,-2.49E-16,1.99E-16,0.255964941,-0.142092179,0.113872763
kviteseid2,4,-0.235234934,-0.003613737,1.51E-16,2.62E-16,4.13E-16,0.086252809,0.149906413,0.236159222
kviteseid2,5,-0.414116538,-0.002225425,2.66E-16,1.23E-16,3.89E-16,0.151842731,0.070223964,0.222066694
kviteseid2,6,-0.488465274,-0.001964943,3.13E-16,1.20E-16,4.34E-16,0.179103934,0.068796445,0.247900379
kviteseid2,7,-0.399279634,-0.002855354,2.56E-16,2.43E-16,5.00E-16,0.146402532,0.139027631,0.285430164
kviteseid2,8,-0.524482921,-0.00195421,3.37E-16,9.27E-17,4.29E-16,0.192310405,0.052987056,0.245297461
kviteseid2,9,-1.03375031,-0.000166171,6.63E-16,-1.74E-16,4.89E-16,0.37904178,-0.099440176,0.279601605
kviteseid3,1,1.095816544,-0.00435448,-7.03E-16,5.34E-16,-1.69E-16,-0.401799399,0.305244946,-0.096554454
kviteseid3,2,1.15615315,-0.005205623,-7.42E-16,6.63E-16,-7.89E-17,-0.423922822,0.378820431,-0.045102391
kviteseid3,3,1.485338888,-0.007275931,-9.53E-16,9.99E-16,4.61E-17,-0.544624259,0.570955059,0.0263308
kviteseid3,4,1.608968855,-0.009278865,-1.03E-15,1.29E-15,2.59E-16,-0.589955247,0.738064,0.148108753
kviteseid3,5,1.855203587,-0.010782103,-1.19E-15,1.55E-15,3.55E-16,-0.680241315,0.883194241,0.202952926
kviteseid3,6,2.051798366,-0.011630343,-1.32E-15,1.72E-15,4.05E-16,-0.752326068,0.983514367,0.2311883
kviteseid3,7,2.452220881,-0.012340448,-1.57E-15,1.85E-15,2.75E-16,-0.899147656,1.056167132,0.157019476
kviteseid3,8,3.070541088,-0.014858971,-1.97E-15,2.24E-15,2.67E-16,-1.125865066,1.278339681,0.152474615
kviteseid3,9,2.94585966,-0.015892127,-1.89E-15,2.40E-15,5.14E-16,-1.080148542,1.374031641,0.293883099
maarud_1,6,5.002530929,-0.012599366,-3.21E-15,2.26E-15,-9.54E-16,-1.83426134,1.289086072,-0.545175268
maarud_1,7,4.352386847,-0.011831211,-2.79E-15,2.16E-15,-6.34E-16,-1.595875177,1.233606256,-0.362268921
maarud_1,8,5.801132187,-0.01431258,-3.72E-15,2.58E-15,-1.15E-15,-2.127081802,1.471918145,-0.655163657
maarud_1,9,6.11971161,-0.013935551,-3.93E-15,2.50E-15,-1.43E-15,-2.243894257,1.429466787,-0.81442747
maarud_1,10,7.066731899,-0.015581061,-4.53E-15,2.77E-15,-1.77E-15,-2.59113503,1.582505138,-1.008629892
maarud_1,11,6.276414552,-0.013847196,-4.03E-15,2.46E-15,-1.56E-15,-2.301352003,1.408537618,-0.892814384
maarud_2,6,0.669893187,-0.002337612,-4.30E-16,3.72E-16,-5.81E-17,-0.245627502,0.212407692,-0.03321981
maarud_2,7,-0.033853479,0.002461349,2.17E-17,-3.63E-16,-3.42E-16,0.012412942,-0.207628795,-0.195215852
maarud_2,8,0.647119915,-0.001422706,-4.15E-16,2.64E-16,-1.51E-16,-0.237277302,0.151133933,-0.086143369
maarud_2,9,0.121807112,0.001175205,-7.82E-17,-9.84E-17,-1.77E-16,-0.044662608,-0.056215284,-0.100877892
maarud_2,10,0.234444677,0.002539672,-1.50E-16,-3.48E-16,-4.99E-16,-0.085963048,-0.199122907,-0.285085955
maarud_2,11,-1.096543918,0.006318235,7.04E-16,-9.74E-16,-2.70E-16,0.402066103,-0.556549597,-0.154483494
maarud_3,6,0.919657816,-0.006755025,-5.90E-16,9.41E-16,3.51E-16,-0.337207866,0.53780207,0.200594204
maarud_3,7,1.226120251,-0.007834226,-7.87E-16,1.07E-15,2.85E-16,-0.449577425,0.612243558,0.162666133
