"","LocalityName","LocalityCode","Plot","Year","Prop_spruce","Prop_pine","Prop_birch"
"170","Drangedal1","1DRB","ØH",2012,0.1875,0.3125,0.5
"171","Drangedal1","1DRB","ØV",2012,0.529411764705882,0.176470588235294,0.294117647058824
"172","Drangedal1","1DRB","NH",2013,0.153846153846154,0.0384615384615385,0.807692307692308
"173","Drangedal1","1DRB","NV",2013,0.3125,0.25,0.4375
"174","Drangedal1","1DRB","ØH",2013,0.1875,0.3125,0.5
"175","Drangedal1","1DRB","ØV",2013,0.526315789473684,0.210526315789474,0.263157894736842
"176","Drangedal1","1DRB","NH",2014,0.153846153846154,0.0384615384615385,0.807692307692308
"177","Drangedal1","1DRB","NV",2014,0.294117647058824,0.235294117647059,0.470588235294118
"178","Drangedal1","1DRB","ØH",2014,0.2,0.333333333333333,0.466666666666667
"179","Drangedal1","1DRB","ØV",2014,0.421052631578947,0.315789473684211,0.263157894736842
"180","Drangedal1","1DRB","NH",2015,0.148148148148148,0.111111111111111,0.740740740740741
"181","Drangedal1","1DRB","NV",2015,0.294117647058824,0.235294117647059,0.470588235294118
"182","Drangedal1","1DRB","ØH",2015,0.2,0.333333333333333,0.466666666666667
"183","Drangedal1","1DRB","ØV",2015,0.35,0.45,0.2
"184","Drangedal1","1DRB","NH",2016,0.129032258064516,0.0967741935483871,0.774193548387097
"185","Drangedal1","1DRB","NV",2016,0.294117647058824,0.235294117647059,0.470588235294118
"186","Drangedal1","1DRB","ØH",2016,0.2,0.333333333333333,0.466666666666667
"187","Drangedal1","1DRB","ØV",2016,0.35,0.45,0.2
"188","Drangedal1","1DRB","NH",2017,0.15625,0.09375,0.75
"189","Drangedal1","1DRB","NV",2017,0.3125,0.25,0.4375
"190","Drangedal1","1DRB","ØH",2017,0.2,0.333333333333333,0.466666666666667
"191","Drangedal1","1DRB","ØV",2017,0.380952380952381,0.380952380952381,0.238095238095238
"192","Drangedal1","1DRB","NH",2018,0.15625,0.09375,0.75
"193","Drangedal1","1DRB","NV",2018,0.3125,0.25,0.4375
"194","Drangedal1","1DRB","ØH",2018,0.2,0.333333333333333,0.466666666666667
"195","Drangedal1","1DRB","ØV",2018,0.380952380952381,0.380952380952381,0.238095238095238
"196","Drangedal1","1DRUB","NH",2010,0.166666666666667,0,0.833333333333333
"197","Drangedal1","1DRUB","NV",2010,0.625,0,0.375
"198","Drangedal1","1DRUB","ØH",2010,0.375,0,0.625
"199","Drangedal1","1DRUB","ØV",2010,0.1875,0.03125,0.78125
"200","Drangedal1","1DRUB","NH",2011,0.142857142857143,0,0.857142857142857
"201","Drangedal1","1DRUB","NV",2011,0.333333333333333,0,0.666666666666667
"202","Drangedal1","1DRUB","ØH",2011,0.117647058823529,0,0.882352941176471
"203","Drangedal1","1DRUB","ØV",2011,0.170731707317073,0.024390243902439,0.804878048780488
"204","Drangedal1","1DRUB","NH",2012,0.142857142857143,0,0.857142857142857
"205","Drangedal1","1DRUB","NV",2012,0.4,0,0.6
"206","Drangedal1","1DRUB","ØH",2012,0.125,0,0.875
"207","Drangedal1","1DRUB","ØV",2012,0.25,0.0357142857142857,0.714285714285714
"208","Drangedal1","1DRUB","NH",2013,0.125,0,0.875
"209","Drangedal1","1DRUB","NV",2013,0.4,0,0.6
"210","Drangedal1","1DRUB","ØH",2013,0.0555555555555556,0,0.944444444444444
"211","Drangedal1","1DRUB","ØV",2013,0.266666666666667,0.0333333333333333,0.7
"212","Drangedal1","1DRUB","NH",2014,0.111111111111111,0,0.888888888888889
"213","Drangedal1","1DRUB","NV",2014,0.307692307692308,0,0.692307692307692
"214","Drangedal1","1DRUB","ØH",2014,0.0666666666666667,0,0.933333333333333
"215","Drangedal1","1DRUB","ØV",2014,0.212121212121212,0.0303030303030303,0.757575757575758
"216","Drangedal1","1DRUB","NH",2015,0.125,0,0.875
"217","Drangedal1","1DRUB","NV",2015,0.307692307692308,0,0.692307692307692
"218","Drangedal1","1DRUB","ØH",2015,0.125,0,0.875
"219","Drangedal1","1DRUB","ØV",2015,0.275862068965517,0.0344827586206897,0.689655172413793
"220","Drangedal1","1DRUB","NH",2016,0.125,0,0.875
"221","Drangedal1","1DRUB","NV",2016,0.25,0,0.75
"222","Drangedal1","1DRUB","ØH",2016,0.125,0,0.875
"223","Drangedal1","1DRUB","ØV",2016,0.266666666666667,0.0333333333333333,0.7
"224","Drangedal1","1DRUB","NH",2017,0.125,0,0.875
"225","Drangedal1","1DRUB","NV",2017,0.285714285714286,0,0.714285714285714
"226","Drangedal1","1DRUB","ØH",2017,0.1,0,0.9
"227","Drangedal1","1DRUB","ØV",2017,0.272727272727273,0.0303030303030303,0.696969696969697
"228","Drangedal1","1DRUB","NH",2018,0.125,0,0.875
"229","Drangedal1","1DRUB","NV",2018,0.285714285714286,0,0.714285714285714
"230","Drangedal1","1DRUB","ØH",2018,0.133333333333333,0,0.866666666666667
"231","Drangedal1","1DRUB","ØV",2018,0.290322580645161,0.032258064516129,0.67741935483871
"232","Fritsøe1","1FRB","NH",2010,0.666666666666667,0,0.333333333333333
