"","LocalityName","LocalityCode","Plot","Year","Prop_spruce","Prop_pine","Prop_birch","Prop_decid"
"160","Drangedal1","1DRB","NH",2010,0.333333333333333,0.0833333333333333,0.583333333333333,0
"161","Drangedal1","1DRB","NV",2010,0.5,0.4,0.1,0
"162","Drangedal1","1DRB","ØH",2010,0.5,0.5,0,0
"163","Drangedal1","1DRB","ØV",2010,0.727272727272727,0.181818181818182,0,0.0909090909090909
"164","Drangedal1","1DRB","NH",2011,0.16,0.04,0.8,0
"165","Drangedal1","1DRB","NV",2011,0.25,0.25,0.5,0
"166","Drangedal1","1DRB","ØH",2011,0.176470588235294,0.294117647058824,0.529411764705882,0
"167","Drangedal1","1DRB","ØV",2011,0.5,0.125,0,0.375
"168","Drangedal1","1DRB","NH",2012,0.173913043478261,0.0434782608695652,0.782608695652174,0
"169","Drangedal1","1DRB","NV",2012,0.3125,0.3125,0.375,0
"170","Drangedal1","1DRB","ØH",2012,0.1875,0.3125,0.5,0
"171","Drangedal1","1DRB","ØV",2012,0.529411764705882,0.176470588235294,0,0.294117647058824
"172","Drangedal1","1DRB","NH",2013,0.153846153846154,0.0384615384615385,0.807692307692308,0
"173","Drangedal1","1DRB","NV",2013,0.3125,0.25,0.4375,0
"174","Drangedal1","1DRB","ØH",2013,0.1875,0.3125,0.5,0
"175","Drangedal1","1DRB","ØV",2013,0.526315789473684,0.210526315789474,0,0.263157894736842
"176","Drangedal1","1DRB","NH",2014,0.153846153846154,0.0384615384615385,0.807692307692308,0
"177","Drangedal1","1DRB","NV",2014,0.294117647058824,0.235294117647059,0.470588235294118,0
"178","Drangedal1","1DRB","ØH",2014,0.2,0.333333333333333,0.466666666666667,0
"179","Drangedal1","1DRB","ØV",2014,0.421052631578947,0.315789473684211,0,0.263157894736842
"180","Drangedal1","1DRB","NH",2015,0.148148148148148,0.111111111111111,0.740740740740741,0
"181","Drangedal1","1DRB","NV",2015,0.294117647058824,0.235294117647059,0.470588235294118,0
"182","Drangedal1","1DRB","ØH",2015,0.2,0.333333333333333,0.466666666666667,0
"183","Drangedal1","1DRB","ØV",2015,0.35,0.45,0,0.2
"184","Drangedal1","1DRB","NH",2016,0.129032258064516,0.0967741935483871,0.741935483870968,0.032258064516129
"185","Drangedal1","1DRB","NV",2016,0.294117647058824,0.235294117647059,0.470588235294118,0
"186","Drangedal1","1DRB","ØH",2016,0.2,0.333333333333333,0.466666666666667,0
"187","Drangedal1","1DRB","ØV",2016,0.35,0.45,0,0.2
"188","Drangedal1","1DRB","NH",2017,0.15625,0.09375,0.75,0
"189","Drangedal1","1DRB","NV",2017,0.3125,0.25,0.4375,0
"190","Drangedal1","1DRB","ØH",2017,0.2,0.333333333333333,0.466666666666667,0
"191","Drangedal1","1DRB","ØV",2017,0.380952380952381,0.380952380952381,0.0476190476190476,0.19047619047619
"192","Drangedal1","1DRB","NH",2018,0.15625,0.09375,0.75,0
"193","Drangedal1","1DRB","NV",2018,0.3125,0.25,0.4375,0
"194","Drangedal1","1DRB","ØH",2018,0.2,0.333333333333333,0.466666666666667,0
"195","Drangedal1","1DRB","ØV",2018,0.380952380952381,0.380952380952381,0.0476190476190476,0.19047619047619
"196","Drangedal1","1DRUB","NH",2010,0.166666666666667,0,0,0.833333333333333
"197","Drangedal1","1DRUB","NV",2010,0.625,0,0,0.375
"198","Drangedal1","1DRUB","ØH",2010,0.375,0,0,0.625
