LocalityName,LocalityCode,ExperimentID,Region,DistrictID,Treatment,Longitude,Latitude,Clear.cut,Year.initiated,LiDAR.data.from.year,Point.density...m.2.,Resolution..m.,Mean,Median,SD,Min,Max,X1st.Qu.,X3rd.Qu.,IQR,ClearCutToLidar,CV,IQR_med,MAD,MAD_med,productivity,diff_median_ex_op
Kviteseid3,3KVB,{E82B89F3-5ECE-4C35-830A-D3D79D974057},Telemark,829,Open plot,8267729,59372355,2000,2009,2017,5,0.25,0.802549872254414,0.284999996423721,1.07582616885211,-0.127000004053116,5.26399993896484,0.168999999761581,1.18150001764297,1.01250001788139,17,1.34051004933817,3.55263168626874,0.256489789572358,0.899964185231162,0.0912505780029237,
Kviteseid3,3KVUB,{9F2668F4-60F3-4EC2-A3F5-C7F7B36F4836},Telemark,829,Exclosure,8266754,593727,2000,2009,2017,5,0.25,0.989695650640541,0.944000005722046,0.802685197687854,-0.0640000030398369,3.63899993896484,0.224749997258186,1.59274998307228,1.36799998581409,17,0.811042462567505,1.44915251856142,1.05486991687864,1.11744693907262,0.0912505780029237,
Malvik,MAB,{8F9EE1BA-2745-472A-B431-7B04373DEDE1},Trondelag,1663,Open plot,10725884,63358705,2002,2008,2016,2,0.25,0.413341902637828,0.0920000001788139,0.967624458053833,-0.137999996542931,6.38600015640259,0.0230000000447035,0.25,0.226999999955296,14,2.34097838104178,2.46739129906622,0.126020999944769,1.36979347499816,0.160287892381656,
Malvik,MAUB,{2CAF8C2B-43AF-4852-84CC-15A729BAFBB8},Trondelag,1663,Exclosure,1072509,63358309,2002,2008,2016,2,0.25,1.40626146546202,1.36000001430511,1.19850591247234,-0.0839999988675117,4.48400020599365,0.160250000655651,2.27875006198883,2.11850006133318,14,0.852263922398369,1.55772061694839,1.70943779575825,1.25693954248352,0.160287892381656,
namdalseid_1kub,1KB,{2FF62A21-F59E-4A0E-AE79-926652BB96C0},Trondelag,1725,Open plot,11319426,64264537,2006,2008,2010,2,0.5,0.129218140280598,0.00400000018998981,0.687737563810793,-0.151999995112419,6.99499988555908,-0.0149999996647239,0.0405000001192093,0.0554999997839332,4,5.32229888402175,13.8749992869562,0.035582399618905,8.89559948220793,0.222676728012514,
namdalseid_1kub,1KUB,{36856F81-364E-4F86-B5D1-AA06D7E3475F},Trondelag,1725,Exclosure,11318889,64263747,2006,2008,2010,2,0.5,0.244896724315768,0.0900000035762787,0.623890689604351,-0.143999993801117,5.73299980163574,0.0240000002086163,0.273000001907349,0.249000001698733,4,2.54756649500918,2.76666657560402,0.127503605020512,1.41670666615527,0.222676728012514,
Nome_Cappelen1,1CAB,{95EDA0E0-4702-4DAF-A9E5-D1AAE8EF6B30},Telemark,806,Open plot,9262933,59141608,2006,2009,2017,2,0.5,0.212220429511045,0.104000002145767,0.335401451436714,-0.187000006437302,1.75399994850159,0.0379999987781048,0.217249993234873,0.179249994456768,11,1.58043903788847,1.7235576034463,0.122314504860342,1.17610098400676,0.0804412833108973,
Nome_Cappelen1,1CAUB,{C860FA23-A806-4B1A-90A9-084A813B1A50},Telemark,806,Exclosure,9263685,59141688,2006,2009,2017,2,0.5,0.299851009619276,0.0879999995231628,0.59262313622045,-0.187999993562698,3.36700010299683,0.0270000007003546,0.20100000500679,0.174000004306435,11,1.97639199872267,1.97727278692355,0.103782000441849,1.1793409205023,0.0804412833108973,
Nome_Cappelen2,2CAB,{1345C5C5-BA31-49C1-BB59-BC222904C1F0},Telemark,819,Open plot,912481,59262313,2006,2009,2017,2,0.5,0.380803571209461,0.104000002145767,0.637657476008758,-0.125,3.3659999370575,0.0350000001490116,0.28999999165535,0.254999991506338,11,1.67450497899353,2.45192294466426,0.123797105103359,1.1903567552801,0.166542736794977,
Nome_Cappelen2,2CAUB,{F17E7D99-B3D6-4D0A-BF35-16171967FF10},Telemark,819,Exclosure,9124931,592619,2006,2009,2017,2,0.5,0.765922461321981,0.20099999755621,0.906725121328793,-0.12899999320507,3.17400002479553,0.0637500006705523,1.58774998784065,1.5239999871701,11,1.18383409172227,7.5820895805927,0.27576360515859,1.37195825130034,0.166542736794977,
