"","Region","LocalityName","LocalityCode","Treatment","Subplot","Years_Since_Exclosure","Group","Volume_m3","Volume_m3ha"
"231","Telemark","drangedal4","4DRB","B","NH",2,"Deciduous",0.00357138088421053,2.84201460693005
"232","Telemark","notodden4","4NOB","B","NH",2,"Deciduous",7.43052631578947e-05,0.0591302496466152
"233","Telemark","notodden5","5NOB","B","NH",2,"Deciduous",0.000466716968421053,0.371401562745373
"234","Telemark","notodden6","6NOB","B","NH",2,"Deciduous",0.000132644884210526,0.105555444989787
"235","Trøndelag","bratsberg","BRB","B","NH",2,"Deciduous",0.00501720741052632,3.99256679951276
"236","Trøndelag","selbu_flub","FLB","B","NH",2,"Deciduous",0.00132936842105263,1.05787777700397
"237","Trøndelag","hi_tydal","HIB","B","NH",2,"Deciduous",0.0222499479578947,17.7059460051819
"238","Trøndelag","selbu_kl","KLB","B","NH",2,"Deciduous",0.00391597793684211,3.11623622843612
"239","Trøndelag","singsaas","LAB","B","NH",2,"Deciduous",0.000411553515789473,0.327503881923715
"240","Trøndelag","malvik","MAB","B","NH",2,"Deciduous",0.00148389987368421,1.18084999975141
"241","Trøndelag","sl_tydal","SEB","B","NH",2,"Deciduous",0.000472239915789474,0.375796584615976
"242","Trøndelag","selbu_sl","SLB","B","NH",2,"Deciduous",5.83396210526316e-05,0.0464251953431716
"243","Trøndelag","steinkjer_1bbb","1BBUB","UB","NH",2,"Deciduous",0.000822219578947368,0.654301551482052
"244","Telemark","nome_cappelen1","1CAUB","UB","NH",2,"Deciduous",0.000113604210526316,0.0904033583065776
"245","Telemark","drangedal1","1DRUB","UB","NH",2,"Deciduous",0.000511218947368421,0.406815112379598
"246","Telemark","fritsoe1","1FRUB","UB","NH",2,"Deciduous",0.00302877705263158,2.41022419724809
"247","Telemark","furesdal","1FYUB","UB","NH",2,"Deciduous",0.000915315368421053,0.72838482686095
"248","Trøndelag","namdalseid_1kub","1KUB","UB","NH",2,"Deciduous",0.000311706105263158,0.248047837222771
"249","Telemark","kviteseid1","1KVUB","UB","NH",2,"Deciduous",0.000502361894736843,0.399766893841895
"250","Telemark","notodden1","1NOUB","UB","NH",2,"Deciduous",0.00233500147368421,1.85813513331851
"251","Trøndelag","sub_namdalseid","1SUB","UB","NH",2,"Deciduous",0.00107924,0.858831903912486
"252","Trøndelag","verdal_1vb","1VBUB","UB","NH",2,"Deciduous",7.06498947368421e-05,0.0562213998814525
