"","Region","LocalityName","Years_Since_Exclosure","Delta_C","Delta_A","RF_Delta_C","RF_Delta_A","Net_RF","C_Eq_Delta_C","C_Eq_Delta_A","Net_C_Eq"
"132","Telemark","kviteseid3",3,1.485338888,-0.007275931,-9.53e-16,9.99e-16,4.61e-17,-0.544624259,0.570955059,0.0263308
"133","Telemark","kviteseid3",4,1.608968855,-0.009278865,-1.03e-15,1.29e-15,2.59e-16,-0.589955247,0.738064,0.148108753
"134","Telemark","kviteseid3",5,1.855203587,-0.010782103,-1.19e-15,1.55e-15,3.55e-16,-0.680241315,0.883194241,0.202952926
"135","Telemark","kviteseid3",6,2.051798366,-0.011630343,-1.32e-15,1.72e-15,4.05e-16,-0.752326068,0.983514367,0.2311883
"136","Telemark","kviteseid3",7,2.452220881,-0.012340448,-1.57e-15,1.85e-15,2.75e-16,-0.899147656,1.056167132,0.157019476
"137","Telemark","kviteseid3",8,3.070541088,-0.014858971,-1.97e-15,2.24e-15,2.67e-16,-1.125865066,1.278339681,0.152474615
"138","Telemark","kviteseid3",9,2.94585966,-0.015892127,-1.89e-15,2.4e-15,5.14e-16,-1.080148542,1.374031641,0.293883099
"139","Hedmark","maarud_1",6,5.002530929,-0.012599366,-3.21e-15,2.26e-15,-9.54e-16,-1.83426134,1.289086072,-0.545175268
"140","Hedmark","maarud_1",7,4.352386847,-0.011831211,-2.79e-15,2.16e-15,-6.34e-16,-1.595875177,1.233606256,-0.362268921
"141","Hedmark","maarud_1",8,5.801132187,-0.01431258,-3.72e-15,2.58e-15,-1.15e-15,-2.127081802,1.471918145,-0.655163657
"142","Hedmark","maarud_1",9,6.11971161,-0.013935551,-3.93e-15,2.5e-15,-1.43e-15,-2.243894257,1.429466787,-0.81442747
"143","Hedmark","maarud_1",10,7.066731899,-0.015581061,-4.53e-15,2.77e-15,-1.77e-15,-2.59113503,1.582505138,-1.008629892
"144","Hedmark","maarud_1",11,6.276414552,-0.013847196,-4.03e-15,2.46e-15,-1.56e-15,-2.301352003,1.408537618,-0.892814384
"145","Hedmark","maarud_2",6,0.669893187,-0.002337612,-4.3e-16,3.72e-16,-5.81e-17,-0.245627502,0.212407692,-0.03321981
"146","Hedmark","maarud_2",7,-0.033853479,0.002461349,2.17e-17,-3.63e-16,-3.42e-16,0.012412942,-0.207628795,-0.195215852
"147","Hedmark","maarud_2",8,0.647119915,-0.001422706,-4.15e-16,2.64e-16,-1.51e-16,-0.237277302,0.151133933,-0.086143369
"148","Hedmark","maarud_2",9,0.121807112,0.001175205,-7.82e-17,-9.84e-17,-1.77e-16,-0.044662608,-0.056215284,-0.100877892
"149","Hedmark","maarud_2",10,0.234444677,0.002539672,-1.5e-16,-3.48e-16,-4.99e-16,-0.085963048,-0.199122907,-0.285085955
"150","Hedmark","maarud_2",11,-1.096543918,0.006318235,7.04e-16,-9.74e-16,-2.7e-16,0.402066103,-0.556549597,-0.154483494
"151","Hedmark","maarud_3",6,0.919657816,-0.006755025,-5.9e-16,9.41e-16,3.51e-16,-0.337207866,0.53780207,0.200594204
"152","Hedmark","maarud_3",7,1.226120251,-0.007834226,-7.87e-16,1.07e-15,2.85e-16,-0.449577425,0.612243558,0.162666133
"153","Hedmark","maarud_3",8,1.777370616,-0.009222179,-1.14e-15,1.31e-15,1.72e-16,-0.651702559,0.750259658,0.098557098
"154","Hedmark","maarud_3",9,2.107679385,-0.008883358,-1.35e-15,1.28e-15,-7.37e-17,-0.772815775,0.73068118,-0.042134595
"155","Hedmark","maarud_3",10,2.586697375,-0.007703513,-1.66e-15,1.09e-15,-5.67e-16,-0.948455704,0.624286544,-0.32416916
"156","Hedmark","maarud_3",11,1.469789547,-0.00731692,-9.43e-16,1.01e-15,6.47e-17,-0.538922834,0.575876783,0.03695395
"157","Trøndelag","malvik",1,-0.38996982,0.002698939,2.5e-16,-2.18e-16,3.23e-17,0.142988934,-0.12454123,0.018447704
"158","Trøndelag","malvik",2,-0.258914378,0.00435448,1.66e-16,-3.83e-16,-2.17e-16,0.094935272,-0.219000884,-0.124065612
"159","Trøndelag","malvik",3,-0.327120352,0.004670125,2.1e-16,-3.97e-16,-1.87e-16,0.119944129,-0.226975687,-0.107031558
"160","Trøndelag","malvik",4,0.178809781,0.004349246,-1.15e-16,-3.92e-16,-5.07e-16,-0.065563586,-0.22391373,-0.289477316
"161","Trøndelag","malvik",5,0.190661395,0.005095199,-1.22e-16,-4.58e-16,-5.8e-16,-0.069909178,-0.261744743,-0.331653921
"162","Trøndelag","malvik",6,0.085362534,0.005856891,-5.48e-17,-5.51e-16,-6.05e-16,-0.031299596,-0.314696205,-0.345995801
"163","Trøndelag","malvik",7,1.26608082,0.003340837,-8.12e-16,-2.24e-16,-1.04e-15,-0.464229634,-0.128049598,-0.592279232
"164","Trøndelag","malvik",8,2.172207127,-0.004492158,-1.39e-15,7.22e-16,-6.71e-16,-0.796475947,0.412804508,-0.383671439
"165","Trøndelag","malvik",9,2.467527363,-0.003883037,-1.58e-15,6.63e-16,-9.21e-16,-0.904760033,0.378749132,-0.526010902
"166","Trøndelag","malvik",10,2.446883304,-0.006917614,-1.57e-15,1.04e-15,-5.28e-16,-0.897190545,0.5953294,-0.301861145
"167","Trøndelag","malvik",11,2.437645578,-0.004678636,-1.56e-15,7.85e-16,-7.79e-16,-0.893803379,0.448741623,-0.445061756
"168","Trøndelag","namdalseid_1kub",1,0.345041157,-0.00943206,-2.21e-16,9.33e-16,7.12e-16,-0.126515091,0.533218657,0.406703566
"169","Trøndelag","namdalseid_1kub",2,0.369654809,-0.000451149,-2.37e-16,-3.93e-17,-2.77e-16,-0.135540097,-0.022479867,-0.158019964
"170","Trøndelag","namdalseid_1kub",3,0.928114715,-0.003473896,-5.96e-16,3.24e-16,-2.72e-16,-0.340308729,0.184918222,-0.155390507
"171","Trøndelag","namdalseid_1kub",4,1.329246353,-0.003935154,-8.53e-16,4.14e-16,-4.39e-16,-0.487390329,0.236563634,-0.250826695
"172","Trøndelag","namdalseid_1kub",5,2.059054222,-0.008239122,-1.32e-15,9.39e-16,-3.82e-16,-0.754986548,0.536809315,-0.218177233
"173","Trøndelag","namdalseid_1kub",6,3.336544809,-0.011591683,-2.14e-15,1.35e-15,-7.92e-16,-1.223399763,0.770691484,-0.452708279
"174","Trøndelag","namdalseid_1kub",7,2.92573837,-0.012611352,-1.88e-15,1.47e-15,-4.05e-16,-1.072770736,0.84114755,-0.231623186
"175","Trøndelag","namdalseid_1kub",8,3.900003656,-0.017966562,-2.5e-15,2.16e-15,-3.46e-16,-1.430001341,1.232154492,-0.197846848
"176","Trøndelag","namdalseid_1kub",9,4.360150594,-0.019628084,-2.8e-15,2.38e-15,-4.14e-16,-1.598721885,1.361971787,-0.236750098
"177","Trøndelag","namdalseid_1kub",10,4.936191251,-0.020429359,-3.17e-15,2.48e-15,-6.86e-16,-1.809936792,1.417855735,-0.392081057
"178","Trøndelag","namdalseid_1kub",11,3.652133269,-0.01710827,-2.34e-15,2.12e-15,-2.19e-16,-1.339115532,1.214204567,-0.124910965
"179","Hedmark","nes_1",2,3.732935124,-0.024597308,-2.4e-15,3.91e-15,1.52e-15,-1.368742879,2.236785639,0.86804276
"180","Hedmark","nes_1",3,4.261606953,-0.02592668,-2.73e-15,4.15e-15,1.41e-15,-1.562589216,2.36884167,0.806252454
"181","Hedmark","nes_1",4,5.052271438,-0.027581347,-3.24e-15,4.41e-15,1.16e-15,-1.852499527,2.517147655,0.664648128
"182","Hedmark","nes_1",5,4.961487468,-0.027234263,-3.18e-15,4.35e-15,1.17e-15,-1.819212072,2.487671765,0.668459693
"183","Hedmark","nes_1",6,7.619956883,-0.035755735,-4.89e-15,5.72e-15,8.26e-16,-2.793984191,3.265961689,0.471977498
"184","Hedmark","nes_1",7,9.357205073,-0.033534304,-6e-15,5.35e-15,-6.49e-16,-3.430975193,3.0599531,-0.371022093
"185","Hedmark","nes_2",2,-1.801652229,0.008662553,1.16e-15,-1.57e-15,-4.17e-16,0.660605817,-0.899076471,-0.238470654
"186","Hedmark","nes_2",3,-1.859884539,0.00862046,1.19e-15,-1.53e-15,-3.37e-16,0.681957664,-0.874272648,-0.192314984
"187","Hedmark","nes_2",4,-1.446001885,0.00654336,9.28e-16,-1.21e-15,-2.82e-16,0.530200691,-0.691481307,-0.161280616
